epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,8956.47,0.75662,1.10245,0.80971,0.96453,0,0.40463,0.43918,0.42903,0.28197,0.40413,0.43911,0.4175,0.23749,1.18377,1.82999,2.12303,1.30112,0,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,9070.57,0.75557,1.10653,0.80191,0.96264,0,0.45561,0.46567,0.45463,0.30531,0.47966,0.44354,0.4473,0.25807,1.17321,1.74793,2.026,1.29163,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,9186.88,0.74686,1.0934,0.78564,0.9599,0,0.43791,0.48729,0.43471,0.29459,0.43522,0.47602,0.42645,0.24546,1.20137,1.77118,2.09727,1.32711,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,9304.17,0.74381,1.09849,0.77614,0.95977,0,0.37345,0.47552,0.43729,0.29444,0.36944,0.47175,0.41852,0.24316,1.18375,1.78731,2.10501,1.3321,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,9411.91,0.73864,1.06289,0.75778,0.95812,0,0.4205,0.48344,0.445,0.30565,0.40934,0.45657,0.42725,0.24507,1.16598,1.77248,1.97973,1.29942,0,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,9520.63,0.74401,1.08538,0.7607,0.95755,0,0.39782,0.50864,0.43675,0.29697,0.39649,0.50185,0.42476,0.24275,1.18681,1.72657,2.0437,1.3115,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,9633.36,0.72905,1.07229,0.75329,0.94754,0,0.3942,0.51236,0.44929,0.3121,0.40946,0.45042,0.42945,0.25504,1.182,1.74177,2.04209,1.31814,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,9746.75,0.73152,1.07935,0.75181,0.95129,0,0.40426,0.51116,0.45424,0.30954,0.40437,0.50279,0.44558,0.25815,1.17907,1.83357,2.04437,1.31095,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,9867.64,0.72439,1.08571,0.74543,0.95438,0,0.4479,0.46678,0.43218,0.29307,0.46863,0.4368,0.42492,0.25334,1.19684,1.7617,2.02427,1.33978,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,10013.1,0.71578,1.06045,0.73569,0.94359,0,0.40273,0.48998,0.43669,0.2915,0.38756,0.47289,0.41898,0.2498,1.18605,1.77596,2.03683,1.32037,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,10177.6,0.71521,1.0528,0.72931,0.94828,0,0.37774,0.5226,0.45845,0.30813,0.36881,0.50706,0.44078,0.26151,1.20673,1.78719,2.00429,1.34843,0,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,10311.5,0.71893,1.08453,0.74246,0.94361,0,0.49774,0.40301,0.43752,0.29427,0.48833,0.402,0.42484,0.24795,1.18608,1.75953,2.11701,1.32557,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
